group,names,scores,logfoldchanges,pvals,pvals_adj
20,Tmprss2,103.413734,4.4826536,0.0,0.0
24,Eng,102.98935,3.7015724,0.0,0.0
27,Col1a1,102.9056,3.1350677,0.0,0.0
22,Zeb2,102.843575,3.3197134,0.0,0.0
35,C3,102.83943,7.409441,0.0,0.0
22,Dock2,102.78975,4.716791,0.0,0.0
22,Syk,102.53576,4.293223,0.0,0.0
27,Dlk1,102.00466,3.742015,0.0,0.0
24,Shank3,101.911285,4.566117,0.0,0.0
4,Ctla2a,101.85914,1.6061838,0.0,0.0
16,Rapgef5,101.83605,4.291804,0.0,0.0
4,Cxcl14,101.64227,2.699454,0.0,0.0
3,Car2,101.57093,4.537942,0.0,0.0
24,Icam2,101.4828,4.3246937,0.0,0.0
24,Rtl1,101.46924,5.227546,0.0,0.0
